"ns","lu.from","lu.to","value"
"13760","OtherLand","Cropland",0
"13761","OtherLand","Cropland",0
"13762","OtherLand","Cropland",0
"13763","OtherLand","Cropland",0
"13764","OtherLand","Cropland",0
"13765","OtherLand","Cropland",0
"13766","OtherLand","Cropland",0
"13767","OtherLand","Cropland",0
"13768","OtherLand","Cropland",0
"13769","OtherLand","Cropland",0
"13770","OtherLand","Cropland",0
"13771","OtherLand","Cropland",0
"13803","OtherLand","Cropland",0
"13805","OtherLand","Cropland",0
"13806","OtherLand","Cropland",0
"13807","OtherLand","Cropland",0
"13808","OtherLand","Cropland",0
"13809","OtherLand","Cropland",0
"13811","OtherLand","Cropland",0
"13812","OtherLand","Cropland",0
"13813","OtherLand","Cropland",0
"13814","OtherLand","Cropland",0
"13815","OtherLand","Cropland",0
"13816","OtherLand","Cropland",0
"13817","OtherLand","Cropland",0
"13818","OtherLand","Cropland",0
"13819","OtherLand","Cropland",0
"13820","OtherLand","Cropland",0
"13821","OtherLand","Cropland",0
"13822","OtherLand","Cropland",0
"13823","OtherLand","Cropland",0
"13862","OtherLand","Cropland",0
"13864","OtherLand","Cropland",0
"13866","OtherLand","Cropland",0
"13867","OtherLand","Cropland",0
"13869","OtherLand","Cropland",0
"13871","OtherLand","Cropland",0
"13873","OtherLand","Cropland",0
"13874","OtherLand","Cropland",0
"13875","OtherLand","Cropland",0
"13876","OtherLand","Cropland",0
"13877","OtherLand","Cropland",0
"13879","OtherLand","Cropland",0
"13881","OtherLand","Cropland",0
"13883","OtherLand","Cropland",0
"13885","OtherLand","Cropland",0
"13887","OtherLand","Cropland",0
"13888","OtherLand","Cropland",0
"13889","OtherLand","Cropland",0
"13890","OtherLand","Cropland",0
"13891","OtherLand","Cropland",0
"13892","OtherLand","Cropland",0
"13893","OtherLand","Cropland",0
"13932","OtherLand","Cropland",0
"13934","OtherLand","Cropland",0
"13936","OtherLand","Cropland",0
"13937","OtherLand","Cropland",0
"13939","OtherLand","Cropland",0
"13940","OtherLand","Cropland",0
"13941","OtherLand","Cropland",0
"13942","OtherLand","Cropland",0
"13943","OtherLand","Cropland",0
"13945","OtherLand","Cropland",0
"13948","OtherLand","Cropland",0
"13949","OtherLand","Cropland",0
"13950","OtherLand","Cropland",0
"13951","OtherLand","Cropland",0
"13952","OtherLand","Cropland",0
"13953","OtherLand","Cropland",0
"13954","OtherLand","Cropland",0
"13990","OtherLand","Cropland",0
"13992","OtherLand","Cropland",0
"13993","OtherLand","Cropland",0
"13994","OtherLand","Cropland",0
"13995","OtherLand","Cropland",0
"13996","OtherLand","Cropland",0
"13997","OtherLand","Cropland",0
"13998","OtherLand","Cropland",0
"13999","OtherLand","Cropland",0
"14000","OtherLand","Cropland",0
"14001","OtherLand","Cropland",0
"14002","OtherLand","Cropland",0
"14003","OtherLand","Cropland",0
"14040","OtherLand","Cropland",0
"14042","OtherLand","Cropland",0
"14043","OtherLand","Cropland",0
"14044","OtherLand","Cropland",0
"14045","OtherLand","Cropland",0
"14046","OtherLand","Cropland",0
"14047","OtherLand","Cropland",0
"14048","OtherLand","Cropland",0
"14087","OtherLand","Cropland",0
"14089","OtherLand","Cropland",0
"14091","OtherLand","Cropland",0
"14092","OtherLand","Cropland",0
"14125","OtherLand","Cropland",0
"39002","OtherLand","Cropland",0
"39004","OtherLand","Cropland",0
"39057","OtherLand","Cropland",0
"39058","OtherLand","Cropland",0
"39111","OtherLand","Cropland",0
"39561","OtherLand","Cropland",0
"39562","OtherLand","Cropland",0
"39563","OtherLand","Cropland",0
"39611","OtherLand","Cropland",0
"39612","OtherLand","Cropland",0
"39613","OtherLand","Cropland",0
"39614","OtherLand","Cropland",0
"39615","OtherLand","Cropland",0
"39616","OtherLand","Cropland",0
"39617","OtherLand","Cropland",0
"39668","OtherLand","Cropland",0
"39669","OtherLand","Cropland",0
"39670","OtherLand","Cropland",0
"39671","OtherLand","Cropland",0
"39672","OtherLand","Cropland",0
"39673","OtherLand","Cropland",0
"39674","OtherLand","Cropland",0
"39727","OtherLand","Cropland",0
"39728","OtherLand","Cropland",0
"39729","OtherLand","Cropland",0
"39730","OtherLand","Cropland",0
"39731","OtherLand","Cropland",0
"39732","OtherLand","Cropland",0
"39733","OtherLand","Cropland",0
"39734","OtherLand","Cropland",0
"39735","OtherLand","Cropland",0
"39736","OtherLand","Cropland",0
"39737","OtherLand","Cropland",0
"39789","OtherLand","Cropland",0
"39790","OtherLand","Cropland",0
"39791","OtherLand","Cropland",0
"39792","OtherLand","Cropland",0
"39793","OtherLand","Cropland",0
"39794","OtherLand","Cropland",0
"39795","OtherLand","Cropland",0
"39796","OtherLand","Cropland",0
"39797","OtherLand","Cropland",0
"39798","OtherLand","Cropland",0
"39799","OtherLand","Cropland",0
"39800","OtherLand","Cropland",0
"39801","OtherLand","Cropland",0
"39802","OtherLand","Cropland",0
"39851","OtherLand","Cropland",0
"39852","OtherLand","Cropland",0
"39853","OtherLand","Cropland",0
"39854","OtherLand","Cropland",0
"39855","OtherLand","Cropland",0
"39856","OtherLand","Cropland",0
"39857","OtherLand","Cropland",0
"39858","OtherLand","Cropland",0
"39859","OtherLand","Cropland",0
"39860","OtherLand","Cropland",0
"39861","OtherLand","Cropland",0
"39862","OtherLand","Cropland",0
"39863","OtherLand","Cropland",0
"39864","OtherLand","Cropland",0
"39865","OtherLand","Cropland",0
"39866","OtherLand","Cropland",0
"39918","OtherLand","Cropland",0
"39919","OtherLand","Cropland",0
"39920","OtherLand","Cropland",0
"39921","OtherLand","Cropland",0
"39922","OtherLand","Cropland",0
"39923","OtherLand","Cropland",0
"39924","OtherLand","Cropland",0
"39925","OtherLand","Cropland",0
"39926","OtherLand","Cropland",0
"39927","OtherLand","Cropland",0
"39928","OtherLand","Cropland",0
"39929","OtherLand","Cropland",0
"39930","OtherLand","Cropland",0
"39931","OtherLand","Cropland",0
"39932","OtherLand","Cropland",0
"39933","OtherLand","Cropland",0
"39934","OtherLand","Cropland",0
"39935","OtherLand","Cropland",0
"39936","OtherLand","Cropland",0
"39981","OtherLand","Cropland",0
"39982","OtherLand","Cropland",0
"39983","OtherLand","Cropland",0
"39984","OtherLand","Cropland",0
"39985","OtherLand","Cropland",0
"39986","OtherLand","Cropland",0
"39987","OtherLand","Cropland",0
"39988","OtherLand","Cropland",0
"39989","OtherLand","Cropland",0
"39990","OtherLand","Cropland",0
"39991","OtherLand","Cropland",0
"39992","OtherLand","Cropland",0
"39993","OtherLand","Cropland",0
"39994","OtherLand","Cropland",0
"39995","OtherLand","Cropland",0
"39996","OtherLand","Cropland",0
"39997","OtherLand","Cropland",0
"39998","OtherLand","Cropland",0
"39999","OtherLand","Cropland",0
"40000","OtherLand","Cropland",0
"40001","OtherLand","Cropland",0
"40047","OtherLand","Cropland",0
"40048","OtherLand","Cropland",0
"40049","OtherLand","Cropland",0
"40050","OtherLand","Cropland",0
"40051","OtherLand","Cropland",0
"40052","OtherLand","Cropland",0
"40053","OtherLand","Cropland",0
"40054","OtherLand","Cropland",0
"40055","OtherLand","Cropland",0
"40056","OtherLand","Cropland",0
"40057","OtherLand","Cropland",0
"40058","OtherLand","Cropland",0
"40059","OtherLand","Cropland",0
"40060","OtherLand","Cropland",0
"40061","OtherLand","Cropland",0
"40062","OtherLand","Cropland",0
"40063","OtherLand","Cropland",0
"40064","OtherLand","Cropland",0
"40065","OtherLand","Cropland",0
"40066","OtherLand","Cropland",0
"40121","OtherLand","Cropland",0
"40123","OtherLand","Cropland",0
"40124","OtherLand","Cropland",0
"40125","OtherLand","Cropland",0
"40126","OtherLand","Cropland",0
"40127","OtherLand","Cropland",0
"40128","OtherLand","Cropland",0
"40129","OtherLand","Cropland",0
"40130","OtherLand","Cropland",0
"40131","OtherLand","Cropland",0
"40133","OtherLand","Cropland",0
"40135","OtherLand","Cropland",0
"40137","OtherLand","Cropland",0
"40141","OtherLand","Cropland",0
"40142","OtherLand","Cropland",0
"40143","OtherLand","Cropland",0
"40144","OtherLand","Cropland",0
"40145","OtherLand","Cropland",0
"40207","OtherLand","Cropland",0
"40209","OtherLand","Cropland",0
"40210","OtherLand","Cropland",0
"40211","OtherLand","Cropland",0
"40212","OtherLand","Cropland",0
"40213","OtherLand","Cropland",0
"40216","OtherLand","Cropland",0
"40225","OtherLand","Cropland",0
"40226","OtherLand","Cropland",0
"40227","OtherLand","Cropland",0
"40228","OtherLand","Cropland",0
"40229","OtherLand","Cropland",0
"40293","OtherLand","Cropland",0
"40294","OtherLand","Cropland",0
"40295","OtherLand","Cropland",0
"40296","OtherLand","Cropland",0
"40308","OtherLand","Cropland",0
"40364","OtherLand","Cropland",0
"40365","OtherLand","Cropland",0
"40367","OtherLand","Cropland",0
"40438","OtherLand","Cropland",0
"40439","OtherLand","Cropland",0
"40440","OtherLand","Cropland",0
"40442","OtherLand","Cropland",0
"40511","OtherLand","Cropland",0
"40513","OtherLand","Cropland",0
"40514","OtherLand","Cropland",0
"40576","OtherLand","Cropland",0
"40578","OtherLand","Cropland",0
"40579","OtherLand","Cropland",0
"40581","OtherLand","Cropland",0
"40644","OtherLand","Cropland",0
"40647","OtherLand","Cropland",0
"40649","OtherLand","Cropland",0
"40651","OtherLand","Cropland",0
"40652","OtherLand","Cropland",0
"40715","OtherLand","Cropland",0
"40717","OtherLand","Cropland",0
"47302","OtherLand","Cropland",0
"47303","OtherLand","Cropland",0
"47320","OtherLand","Cropland",0
"47321","OtherLand","Cropland",0
"47350","OtherLand","Cropland",0
"47353","OtherLand","Cropland",0
"47370","OtherLand","Cropland",0
"47384","OtherLand","Cropland",0
"47405","OtherLand","Cropland",0
"47429","OtherLand","Cropland",0
"47430","OtherLand","Cropland",0
"47431","OtherLand","Cropland",0
"47454","OtherLand","Cropland",0
"47455","OtherLand","Cropland",0
"47456","OtherLand","Cropland",0
"47476","OtherLand","Cropland",0
"47477","OtherLand","Cropland",0
"47478","OtherLand","Cropland",0
"47480","OtherLand","Cropland",0
"47482","OtherLand","Cropland",0
"47485","OtherLand","Cropland",0
"47498","OtherLand","Cropland",0
"47499","OtherLand","Cropland",0
"47500","OtherLand","Cropland",0
"47501","OtherLand","Cropland",0
"47502","OtherLand","Cropland",0
"47503","OtherLand","Cropland",0
"47504","OtherLand","Cropland",0
"47519","OtherLand","Cropland",0
"47520","OtherLand","Cropland",0
"47521","OtherLand","Cropland",0
"47522","OtherLand","Cropland",0
"47523","OtherLand","Cropland",0
"47532","OtherLand","Cropland",0
"47533","OtherLand","Cropland",0
"47534","OtherLand","Cropland",0
"47541","OtherLand","Cropland",0
"47542","OtherLand","Cropland",0
"47550","OtherLand","Cropland",0
"47556","OtherLand","Cropland",0
"47587","OtherLand","Cropland",0
"47607","OtherLand","Cropland",0
"47615","OtherLand","Cropland",0
"47621","OtherLand","Cropland",0
"47626","OtherLand","Cropland",0
"47627","OtherLand","Cropland",0
"47635","OtherLand","Cropland",0
"47642","OtherLand","Cropland",0
"47643","OtherLand","Cropland",0
"47649","OtherLand","Cropland",0
"47650","OtherLand","Cropland",0
"47655","OtherLand","Cropland",0
"47659","OtherLand","Cropland",0
"51884","OtherLand","Cropland",0
"51890","OtherLand","Cropland",0
"51898","OtherLand","Cropland",0
"51902","OtherLand","Cropland",0
"51909","OtherLand","Cropland",0
"51914","OtherLand","Cropland",0
"52855","OtherLand","Cropland",0
"52872","OtherLand","Cropland",0
"52884","OtherLand","Cropland",0
"52896","OtherLand","Cropland",0
"52897","OtherLand","Cropland",0
"52898","OtherLand","Cropland",0
"52900","OtherLand","Cropland",0
"52902","OtherLand","Cropland",0
"52903","OtherLand","Cropland",0
"55676","OtherLand","Cropland",0
"55703","OtherLand","Cropland",0
"55705","OtherLand","Cropland",0
"55706","OtherLand","Cropland",0
"55731","OtherLand","Cropland",0
"55733","OtherLand","Cropland",0
"55735","OtherLand","Cropland",0
"55736","OtherLand","Cropland",0
"55764","OtherLand","Cropland",0
"55765","OtherLand","Cropland",0
"55766","OtherLand","Cropland",0
"56899","OtherLand","Cropland",0
"56922","OtherLand","Cropland",0
"56928","OtherLand","Cropland",0
"57215","OtherLand","Cropland",0
"57219","OtherLand","Cropland",0
"57229","OtherLand","Cropland",0
"57881","OtherLand","Cropland",0
"57889","OtherLand","Cropland",0
"57890","OtherLand","Cropland",0
"57892","OtherLand","Cropland",0
"57896","OtherLand","Cropland",0
"60440","OtherLand","Cropland",0
"60459","OtherLand","Cropland",0
"60460","OtherLand","Cropland",0
"60484","OtherLand","Cropland",0
"60485","OtherLand","Cropland",0
"60486","OtherLand","Cropland",0
"60507","OtherLand","Cropland",0
"60508","OtherLand","Cropland",0
"61535","OtherLand","Cropland",0
"61538","OtherLand","Cropland",0
"61540","OtherLand","Cropland",0
"61542","OtherLand","Cropland",0
"61965","OtherLand","Cropland",0
"61972","OtherLand","Cropland",0
"63002","OtherLand","Cropland",0
"63023","OtherLand","Cropland",0
"63024","OtherLand","Cropland",0
"63035","OtherLand","Cropland",0
"63616","OtherLand","Cropland",0
"63636","OtherLand","Cropland",0
"63643","OtherLand","Cropland",0
"65120","OtherLand","Cropland",0
"65195","OtherLand","Cropland",0
"65197","OtherLand","Cropland",0
"65313","OtherLand","Cropland",0
"70262","OtherLand","Cropland",0
"70284","OtherLand","Cropland",0
"70285","OtherLand","Cropland",0
"72214","OtherLand","Cropland",0
"72215","OtherLand","Cropland",0
"72227","OtherLand","Cropland",0
"72228","OtherLand","Cropland",0
"72271","OtherLand","Cropland",0
"72275","OtherLand","Cropland",0
"72279","OtherLand","Cropland",0
"72282","OtherLand","Cropland",0
"72285","OtherLand","Cropland",0
"72286","OtherLand","Cropland",0
"72288","OtherLand","Cropland",0
"72289","OtherLand","Cropland",0
"72295","OtherLand","Cropland",0
"72300","OtherLand","Cropland",0
"72885","OtherLand","Cropland",0
"72886","OtherLand","Cropland",0
"73782","OtherLand","Cropland",0
"73954","OtherLand","Cropland",0
"73965","OtherLand","Cropland",0
"73966","OtherLand","Cropland",0
"73979","OtherLand","Cropland",0
"73980","OtherLand","Cropland",0
"73997","OtherLand","Cropland",0
"74009","OtherLand","Cropland",0
"81023","OtherLand","Cropland",0
"81024","OtherLand","Cropland",0
"81025","OtherLand","Cropland",0
"81054","OtherLand","Cropland",0
"81055","OtherLand","Cropland",0
"81056","OtherLand","Cropland",0
"81057","OtherLand","Cropland",0
"81058","OtherLand","Cropland",0
"81059","OtherLand","Cropland",0
"81060","OtherLand","Cropland",0
"81061","OtherLand","Cropland",0
"81088","OtherLand","Cropland",0
"81089","OtherLand","Cropland",0
"81090","OtherLand","Cropland",0
"81092","OtherLand","Cropland",0
"81094","OtherLand","Cropland",0
"81095","OtherLand","Cropland",0
"81096","OtherLand","Cropland",0
"81097","OtherLand","Cropland",0
"81098","OtherLand","Cropland",0
"81099","OtherLand","Cropland",0
"81100","OtherLand","Cropland",0
"81101","OtherLand","Cropland",0
"81102","OtherLand","Cropland",0
"81127","OtherLand","Cropland",0
"81128","OtherLand","Cropland",0
"81129","OtherLand","Cropland",0
"81130","OtherLand","Cropland",0
"81131","OtherLand","Cropland",0
"81132","OtherLand","Cropland",0
"81133","OtherLand","Cropland",0
"81134","OtherLand","Cropland",0
"81135","OtherLand","Cropland",0
"81136","OtherLand","Cropland",0
"81137","OtherLand","Cropland",0
"81138","OtherLand","Cropland",0
"81139","OtherLand","Cropland",0
"81172","OtherLand","Cropland",0
"81173","OtherLand","Cropland",0
"81174","OtherLand","Cropland",0
"81175","OtherLand","Cropland",0
"81176","OtherLand","Cropland",0
"81177","OtherLand","Cropland",0
"81178","OtherLand","Cropland",0
"81179","OtherLand","Cropland",0
"81180","OtherLand","Cropland",0
"81181","OtherLand","Cropland",0
"81182","OtherLand","Cropland",0
"81183","OtherLand","Cropland",0
"81184","OtherLand","Cropland",0
"81185","OtherLand","Cropland",0
"81215","OtherLand","Cropland",0
"81216","OtherLand","Cropland",0
"81217","OtherLand","Cropland",0
"81218","OtherLand","Cropland",0
"81219","OtherLand","Cropland",0
"81220","OtherLand","Cropland",0
"81221","OtherLand","Cropland",0
"81222","OtherLand","Cropland",0
"81223","OtherLand","Cropland",0
"81224","OtherLand","Cropland",0
"81225","OtherLand","Cropland",0
"81226","OtherLand","Cropland",0
"81227","OtherLand","Cropland",0
"81228","OtherLand","Cropland",0
"81229","OtherLand","Cropland",0
"81230","OtherLand","Cropland",0
"81252","OtherLand","Cropland",0
"81253","OtherLand","Cropland",0
"81254","OtherLand","Cropland",0
"81255","OtherLand","Cropland",0
"81256","OtherLand","Cropland",0
"81257","OtherLand","Cropland",0
"81259","OtherLand","Cropland",0
"81260","OtherLand","Cropland",0
"81261","OtherLand","Cropland",0
"81262","OtherLand","Cropland",0
"81263","OtherLand","Cropland",0
"81264","OtherLand","Cropland",0
"81265","OtherLand","Cropland",0
"81266","OtherLand","Cropland",0
"81267","OtherLand","Cropland",0
"81268","OtherLand","Cropland",0
"81291","OtherLand","Cropland",0
"81292","OtherLand","Cropland",0
"81293","OtherLand","Cropland",0
"81294","OtherLand","Cropland",0
"81295","OtherLand","Cropland",0
"81296","OtherLand","Cropland",0
"81297","OtherLand","Cropland",0
"81298","OtherLand","Cropland",0
"81300","OtherLand","Cropland",0
"81301","OtherLand","Cropland",0
"81302","OtherLand","Cropland",0
"81303","OtherLand","Cropland",0
"81304","OtherLand","Cropland",0
"81305","OtherLand","Cropland",0
"81306","OtherLand","Cropland",0
"81307","OtherLand","Cropland",0
"81309","OtherLand","Cropland",0
"81332","OtherLand","Cropland",0
"81333","OtherLand","Cropland",0
"81334","OtherLand","Cropland",0
"81335","OtherLand","Cropland",0
"81336","OtherLand","Cropland",0
"81337","OtherLand","Cropland",0
"81338","OtherLand","Cropland",0
"81339","OtherLand","Cropland",0
"81340","OtherLand","Cropland",0
"81341","OtherLand","Cropland",0
"81342","OtherLand","Cropland",0
"81344","OtherLand","Cropland",0
"81345","OtherLand","Cropland",0
"81346","OtherLand","Cropland",0
"81347","OtherLand","Cropland",0
"81348","OtherLand","Cropland",0
"81349","OtherLand","Cropland",0
"81350","OtherLand","Cropland",0
"81351","OtherLand","Cropland",0
"81352","OtherLand","Cropland",0
"81353","OtherLand","Cropland",0
"81355","OtherLand","Cropland",0
"81378","OtherLand","Cropland",0
"81379","OtherLand","Cropland",0
"81380","OtherLand","Cropland",0
"81381","OtherLand","Cropland",0
"81382","OtherLand","Cropland",0
"81383","OtherLand","Cropland",0
"81384","OtherLand","Cropland",0
"81385","OtherLand","Cropland",0
"81386","OtherLand","Cropland",0
"81387","OtherLand","Cropland",0
"81388","OtherLand","Cropland",0
"81389","OtherLand","Cropland",0
"81390","OtherLand","Cropland",0
"81391","OtherLand","Cropland",0
"81393","OtherLand","Cropland",0
"81394","OtherLand","Cropland",0
"81395","OtherLand","Cropland",0
"81396","OtherLand","Cropland",0
"81398","OtherLand","Cropland",0
"81399","OtherLand","Cropland",0
"81400","OtherLand","Cropland",0
"81401","OtherLand","Cropland",0
"81402","OtherLand","Cropland",0
"81403","OtherLand","Cropland",0
"81404","OtherLand","Cropland",0
"81405","OtherLand","Cropland",0
"81434","OtherLand","Cropland",0
"81435","OtherLand","Cropland",0
"81436","OtherLand","Cropland",0
"81437","OtherLand","Cropland",0
"81438","OtherLand","Cropland",0
"81439","OtherLand","Cropland",0
"81440","OtherLand","Cropland",0
"81442","OtherLand","Cropland",0
"81443","OtherLand","Cropland",0
"81444","OtherLand","Cropland",0
"81445","OtherLand","Cropland",0
"81446","OtherLand","Cropland",0
"81447","OtherLand","Cropland",0
"81448","OtherLand","Cropland",0
"81449","OtherLand","Cropland",0
"81450","OtherLand","Cropland",0
"81451","OtherLand","Cropland",0
"81452","OtherLand","Cropland",0
"81453","OtherLand","Cropland",0
"81454","OtherLand","Cropland",0
"81455","OtherLand","Cropland",0
"81456","OtherLand","Cropland",0
"81457","OtherLand","Cropland",0
"81458","OtherLand","Cropland",0
"81459","OtherLand","Cropland",0
"81460","OtherLand","Cropland",0
"81461","OtherLand","Cropland",0
"81462","OtherLand","Cropland",0
"81463","OtherLand","Cropland",0
"81464","OtherLand","Cropland",0
"81486","OtherLand","Cropland",0
"81487","OtherLand","Cropland",0
"81488","OtherLand","Cropland",0
"81489","OtherLand","Cropland",0
"81490","OtherLand","Cropland",0
"81491","OtherLand","Cropland",0
"81492","OtherLand","Cropland",0
"81493","OtherLand","Cropland",0
"81494","OtherLand","Cropland",0
"81495","OtherLand","Cropland",0
"81497","OtherLand","Cropland",0
"81498","OtherLand","Cropland",0
"81499","OtherLand","Cropland",0
"81500","OtherLand","Cropland",0
"81501","OtherLand","Cropland",0
"81502","OtherLand","Cropland",0
"81503","OtherLand","Cropland",0
"81504","OtherLand","Cropland",0
"81505","OtherLand","Cropland",0
"81506","OtherLand","Cropland",0
"81508","OtherLand","Cropland",0
"81509","OtherLand","Cropland",0
"81510","OtherLand","Cropland",0
"81511","OtherLand","Cropland",0
"81512","OtherLand","Cropland",0
"81513","OtherLand","Cropland",0
"81514","OtherLand","Cropland",0
"81515","OtherLand","Cropland",0
"81517","OtherLand","Cropland",0
"81518","OtherLand","Cropland",0
"81519","OtherLand","Cropland",0
"81537","OtherLand","Cropland",0
"81538","OtherLand","Cropland",0
"81539","OtherLand","Cropland",0
"81540","OtherLand","Cropland",0
"81541","OtherLand","Cropland",0
"81542","OtherLand","Cropland",0
"81543","OtherLand","Cropland",0
"81544","OtherLand","Cropland",0
"81545","OtherLand","Cropland",0
"81546","OtherLand","Cropland",0
"81547","OtherLand","Cropland",0
"81548","OtherLand","Cropland",0
"81549","OtherLand","Cropland",0
"81550","OtherLand","Cropland",0
"81551","OtherLand","Cropland",0
"81552","OtherLand","Cropland",0
"81553","OtherLand","Cropland",0
"81554","OtherLand","Cropland",0
"81555","OtherLand","Cropland",0
"81556","OtherLand","Cropland",0
"81558","OtherLand","Cropland",0
"81559","OtherLand","Cropland",0
"81560","OtherLand","Cropland",0
"81561","OtherLand","Cropland",0
"81562","OtherLand","Cropland",0
"81563","OtherLand","Cropland",0
"81564","OtherLand","Cropland",0
"81566","OtherLand","Cropland",0
"81582","OtherLand","Cropland",0
"81583","OtherLand","Cropland",0
"81584","OtherLand","Cropland",0
"81585","OtherLand","Cropland",0
"81586","OtherLand","Cropland",0
"81587","OtherLand","Cropland",0
"81588","OtherLand","Cropland",0
"81589","OtherLand","Cropland",0
"81590","OtherLand","Cropland",0
"81591","OtherLand","Cropland",0
"81592","OtherLand","Cropland",0
"81593","OtherLand","Cropland",0
"81594","OtherLand","Cropland",0
"81595","OtherLand","Cropland",0
"81596","OtherLand","Cropland",0
"81597","OtherLand","Cropland",0
"81598","OtherLand","Cropland",0
"81600","OtherLand","Cropland",0
"81601","OtherLand","Cropland",0
"81602","OtherLand","Cropland",0
"81603","OtherLand","Cropland",0
"81604","OtherLand","Cropland",0
"81605","OtherLand","Cropland",0
"81606","OtherLand","Cropland",0
"81607","OtherLand","Cropland",0
"81625","OtherLand","Cropland",0
"81626","OtherLand","Cropland",0
"81627","OtherLand","Cropland",0
"81628","OtherLand","Cropland",0
"81629","OtherLand","Cropland",0
"81630","OtherLand","Cropland",0
"81631","OtherLand","Cropland",0
"81632","OtherLand","Cropland",0
"81633","OtherLand","Cropland",0
"81634","OtherLand","Cropland",0
"81635","OtherLand","Cropland",0
"81636","OtherLand","Cropland",0
"81637","OtherLand","Cropland",0
"81639","OtherLand","Cropland",0
"81640","OtherLand","Cropland",0
"81641","OtherLand","Cropland",0
"81642","OtherLand","Cropland",0
"81643","OtherLand","Cropland",0
"81644","OtherLand","Cropland",0
"81645","OtherLand","Cropland",0
"81646","OtherLand","Cropland",0
"81648","OtherLand","Cropland",0
"81649","OtherLand","Cropland",0
"81650","OtherLand","Cropland",0
"81651","OtherLand","Cropland",0
"81652","OtherLand","Cropland",0
"81653","OtherLand","Cropland",0
"81666","OtherLand","Cropland",0
"81667","OtherLand","Cropland",0
"81668","OtherLand","Cropland",0
"81669","OtherLand","Cropland",0
"81670","OtherLand","Cropland",0
"81671","OtherLand","Cropland",0
"81672","OtherLand","Cropland",0
"81673","OtherLand","Cropland",0
"81674","OtherLand","Cropland",0
"81675","OtherLand","Cropland",0
"81676","OtherLand","Cropland",0
"81677","OtherLand","Cropland",0
"81678","OtherLand","Cropland",0
"81679","OtherLand","Cropland",0
"81680","OtherLand","Cropland",0
"81681","OtherLand","Cropland",0
"81682","OtherLand","Cropland",0
"81683","OtherLand","Cropland",0
"81684","OtherLand","Cropland",0
"81685","OtherLand","Cropland",0
"81686","OtherLand","Cropland",0
"81707","OtherLand","Cropland",0
"81708","OtherLand","Cropland",0
"81709","OtherLand","Cropland",0
"81710","OtherLand","Cropland",0
"81711","OtherLand","Cropland",0
"81712","OtherLand","Cropland",0
"81713","OtherLand","Cropland",0
"81714","OtherLand","Cropland",0
"81715","OtherLand","Cropland",0
"81716","OtherLand","Cropland",0
"81717","OtherLand","Cropland",0
"81718","OtherLand","Cropland",0
"81719","OtherLand","Cropland",0
"81720","OtherLand","Cropland",0
"81721","OtherLand","Cropland",0
"81722","OtherLand","Cropland",0
"81723","OtherLand","Cropland",0
"81724","OtherLand","Cropland",0
"81725","OtherLand","Cropland",0
"81726","OtherLand","Cropland",0
"81727","OtherLand","Cropland",0
"81728","OtherLand","Cropland",0
"81749","OtherLand","Cropland",0
"81751","OtherLand","Cropland",0
"81752","OtherLand","Cropland",0
"81753","OtherLand","Cropland",0
"81754","OtherLand","Cropland",0
"81755","OtherLand","Cropland",0
"81756","OtherLand","Cropland",0
"81757","OtherLand","Cropland",0
"81758","OtherLand","Cropland",0
"81759","OtherLand","Cropland",0
"81760","OtherLand","Cropland",0
"81761","OtherLand","Cropland",0
"81762","OtherLand","Cropland",0
"81763","OtherLand","Cropland",0
"81764","OtherLand","Cropland",0
"81765","OtherLand","Cropland",0
"81766","OtherLand","Cropland",0
"81767","OtherLand","Cropland",0
"81768","OtherLand","Cropland",0
"81791","OtherLand","Cropland",0
"81792","OtherLand","Cropland",0
"81793","OtherLand","Cropland",0
"81794","OtherLand","Cropland",0
"81795","OtherLand","Cropland",0
"81796","OtherLand","Cropland",0
"81797","OtherLand","Cropland",0
"81798","OtherLand","Cropland",0
"81799","OtherLand","Cropland",0
"81800","OtherLand","Cropland",0
"81801","OtherLand","Cropland",0
"81802","OtherLand","Cropland",0
"81803","OtherLand","Cropland",0
"81804","OtherLand","Cropland",0
"81805","OtherLand","Cropland",0
"81806","OtherLand","Cropland",0
"81830","OtherLand","Cropland",0
"81831","OtherLand","Cropland",0
"81856","OtherLand","Cropland",0
"81881","OtherLand","Cropland",0
"81882","OtherLand","Cropland",0
"81907","OtherLand","Cropland",0
"81908","OtherLand","Cropland",0
"81926","OtherLand","Cropland",0
"96414","OtherLand","Cropland",0
"96762","OtherLand","Cropland",0
"101080","OtherLand","Cropland",0
"101094","OtherLand","Cropland",0
"101106","OtherLand","Cropland",0
"101107","OtherLand","Cropland",0
"101118","OtherLand","Cropland",0
"101120","OtherLand","Cropland",0
"101121","OtherLand","Cropland",0
"101137","OtherLand","Cropland",0
"101138","OtherLand","Cropland",0
"101165","OtherLand","Cropland",0
"101177","OtherLand","Cropland",0
"101178","OtherLand","Cropland",0
"101189","OtherLand","Cropland",0
"101190","OtherLand","Cropland",0
"101191","OtherLand","Cropland",0
"101202","OtherLand","Cropland",0
"101203","OtherLand","Cropland",0
"101204","OtherLand","Cropland",0
"101205","OtherLand","Cropland",0
"101206","OtherLand","Cropland",0
"101217","OtherLand","Cropland",0
"101218","OtherLand","Cropland",0
"101219","OtherLand","Cropland",0
"101220","OtherLand","Cropland",0
"101231","OtherLand","Cropland",0
"101241","OtherLand","Cropland",0
"101242","OtherLand","Cropland",0
"101249","OtherLand","Cropland",0
