"ns","lu.from","lu.to","value"
"12907","Forest","Cropland",0
"12908","Forest","Cropland",0
"12909","Forest","Cropland",1
"12910","Forest","Cropland",1
"12911","Forest","Cropland",0
"12912","Forest","Cropland",1
"12913","Forest","Cropland",1
"12951","Forest","Cropland",0
"12952","Forest","Cropland",0
"12953","Forest","Cropland",0
"12954","Forest","Cropland",0
"12955","Forest","Cropland",0
"12956","Forest","Cropland",0
"12957","Forest","Cropland",0
"12958","Forest","Cropland",0
"12959","Forest","Cropland",0
"12960","Forest","Cropland",0
"12961","Forest","Cropland",0
"12962","Forest","Cropland",0
"12963","Forest","Cropland",0
"12964","Forest","Cropland",0
"12965","Forest","Cropland",0
"12966","Forest","Cropland",0
"12967","Forest","Cropland",0
"12968","Forest","Cropland",0
"12969","Forest","Cropland",0
"12970","Forest","Cropland",0
"12971","Forest","Cropland",0
"12972","Forest","Cropland",0
"12973","Forest","Cropland",0
"12974","Forest","Cropland",0
"12975","Forest","Cropland",0
"12976","Forest","Cropland",0
"12977","Forest","Cropland",0
"12978","Forest","Cropland",0
"12979","Forest","Cropland",0
"12980","Forest","Cropland",0
"12981","Forest","Cropland",1
"13019","Forest","Cropland",0
"13020","Forest","Cropland",0
"13021","Forest","Cropland",0
"13022","Forest","Cropland",0
"13023","Forest","Cropland",0
"13024","Forest","Cropland",0
"13025","Forest","Cropland",0
"13026","Forest","Cropland",0
"13027","Forest","Cropland",0
"13028","Forest","Cropland",0
"13029","Forest","Cropland",0
"13030","Forest","Cropland",0
"13031","Forest","Cropland",0
"13032","Forest","Cropland",0
"13033","Forest","Cropland",0
"13034","Forest","Cropland",0
"13035","Forest","Cropland",0
"13036","Forest","Cropland",0
"13037","Forest","Cropland",0
"13038","Forest","Cropland",0
"13039","Forest","Cropland",0
"13040","Forest","Cropland",0
"13041","Forest","Cropland",0
"13042","Forest","Cropland",0
"13043","Forest","Cropland",1
"13044","Forest","Cropland",1
"13083","Forest","Cropland",0
"13084","Forest","Cropland",0
"13085","Forest","Cropland",0
"13086","Forest","Cropland",0
"13087","Forest","Cropland",0
"13088","Forest","Cropland",0
"13089","Forest","Cropland",0
"13090","Forest","Cropland",0
"13091","Forest","Cropland",0
"13092","Forest","Cropland",0
"13093","Forest","Cropland",0
"13094","Forest","Cropland",0
"13095","Forest","Cropland",0
"13096","Forest","Cropland",0
"13097","Forest","Cropland",0
"13098","Forest","Cropland",0
"13099","Forest","Cropland",0
"13100","Forest","Cropland",0
"13101","Forest","Cropland",0
"13102","Forest","Cropland",0
"13103","Forest","Cropland",0
"13104","Forest","Cropland",0
"13105","Forest","Cropland",0
"13106","Forest","Cropland",0
"13107","Forest","Cropland",0
"13108","Forest","Cropland",0
"13109","Forest","Cropland",0
"13110","Forest","Cropland",0
"13111","Forest","Cropland",1
"13112","Forest","Cropland",1
"13150","Forest","Cropland",0
"13151","Forest","Cropland",0
"13152","Forest","Cropland",0
"13153","Forest","Cropland",0
"13154","Forest","Cropland",0
"13155","Forest","Cropland",0
"13156","Forest","Cropland",0
"13157","Forest","Cropland",0
"13158","Forest","Cropland",0
"13159","Forest","Cropland",0
"13160","Forest","Cropland",0
"13161","Forest","Cropland",0
"13162","Forest","Cropland",0
"13163","Forest","Cropland",0
"13164","Forest","Cropland",0
"13165","Forest","Cropland",0
"13166","Forest","Cropland",0
"13167","Forest","Cropland",0
"13168","Forest","Cropland",0
"13169","Forest","Cropland",0
"13170","Forest","Cropland",0
"13171","Forest","Cropland",0
"13172","Forest","Cropland",0
"13173","Forest","Cropland",0
"13174","Forest","Cropland",0
"13175","Forest","Cropland",0
"13176","Forest","Cropland",0
"13177","Forest","Cropland",0
"13178","Forest","Cropland",0
"13179","Forest","Cropland",0
"13180","Forest","Cropland",0
"13181","Forest","Cropland",0
"13182","Forest","Cropland",0
"13183","Forest","Cropland",0
"13184","Forest","Cropland",0
"13185","Forest","Cropland",0
"13186","Forest","Cropland",0
"13187","Forest","Cropland",0
"13188","Forest","Cropland",0
"13189","Forest","Cropland",0
"13225","Forest","Cropland",0
"13226","Forest","Cropland",0
"13227","Forest","Cropland",0
"13228","Forest","Cropland",0
"13229","Forest","Cropland",0
"13230","Forest","Cropland",0
"13231","Forest","Cropland",0
"13232","Forest","Cropland",0
"13233","Forest","Cropland",0
"13234","Forest","Cropland",0
"13235","Forest","Cropland",0
"13236","Forest","Cropland",0
"13237","Forest","Cropland",0
"13238","Forest","Cropland",0
"13239","Forest","Cropland",0
"13240","Forest","Cropland",0
"13241","Forest","Cropland",0
"13242","Forest","Cropland",0
"13243","Forest","Cropland",0
"13244","Forest","Cropland",0
"13245","Forest","Cropland",0
"13246","Forest","Cropland",0
"13247","Forest","Cropland",0
"13248","Forest","Cropland",0
"13249","Forest","Cropland",0
"13250","Forest","Cropland",0
"13251","Forest","Cropland",0
"13252","Forest","Cropland",0
"13253","Forest","Cropland",0
"13254","Forest","Cropland",0
"13255","Forest","Cropland",0
"13256","Forest","Cropland",0
"13257","Forest","Cropland",0
"13258","Forest","Cropland",0
"13259","Forest","Cropland",0
"13260","Forest","Cropland",0
"13261","Forest","Cropland",0
"13262","Forest","Cropland",0
"13263","Forest","Cropland",0
"13303","Forest","Cropland",0
"13306","Forest","Cropland",0
"13307","Forest","Cropland",0
"13308","Forest","Cropland",0
"13309","Forest","Cropland",0
"13310","Forest","Cropland",0
"13311","Forest","Cropland",0
"13312","Forest","Cropland",0
"13313","Forest","Cropland",0
"13314","Forest","Cropland",0
"13315","Forest","Cropland",0
"13316","Forest","Cropland",0
