"ns","lu.from","value"
"101080","Cropland",0
"101080","Forest",0
"101080","OtherLand",9.6165697326979
"101080","Pasture",1.40151929618813
"101080","Plantations",0
"101080","Urban",0.102310971113966
"101094","Cropland",0.0167782040177604
"101094","Forest",0.146721118373483
"101094","OtherLand",7.47497641017479
"101094","Pasture",3.58846787853162
"101094","Plantations",0
"101094","Urban",0.00767638890235037
"101106","Cropland",0.103960540332121
"101106","Forest",1.82790652947205
"101106","OtherLand",9.86063410432977
"101106","Pasture",5.39818882586606
"101106","Plantations",0
"101106","Urban",0
"101107","Cropland",0.00118260430366511
"101107","Forest",0
"101107","OtherLand",4.09773890960323
"101107","Pasture",1.51838848609311
"101107","Plantations",0
"101107","Urban",0
"101118","Cropland",0.0150119472784782
"101118","Forest",0
"101118","OtherLand",3.71615986938016
"101118","Pasture",2.27365818334136
"101118","Plantations",0
"101118","Urban",0
"101120","Cropland",0.0232231435981473
"101120","Forest",0.00665970423208211
"101120","OtherLand",7.43021809833713
"101120","Pasture",4.44149905383264
"101120","Plantations",0
"101120","Urban",0
"101121","Cropland",0.00426247089688986
"101121","Forest",0.0143843384069692
"101121","OtherLand",7.56306300807408
"101121","Pasture",4.21050659214531
"101121","Plantations",0
"101121","Urban",0.000443590476749884
"101137","Cropland",0.000395733026709743
"101137","Forest",0
"101137","OtherLand",10.807697830453
"101137","Pasture",5.87110997979227
"101137","Plantations",0
"101137","Urban",0.00139645672801245
"101138","Cropland",0
"101138","Forest",0
"101138","OtherLand",3.61272078533434
"101138","Pasture",1.88954929365606
"101138","Plantations",0
"101138","Urban",0.000409921009598932
"101165","Cropland",0.0178651477235642
"101165","Forest",0.00558227620574592
"101165","OtherLand",19.4728010859869
"101165","Pasture",11.059824300814
"101165","Plantations",0
"101165","Urban",0.00137718926982788
"101177","Cropland",0
"101177","Forest",0
"101177","OtherLand",29.5177527542278
"101177","Pasture",15.8466827602828
"101177","Plantations",0
"101177","Urban",0.0274844854894554
"101178","Cropland",0
"101178","Forest",0
"101178","OtherLand",18.1840097869588
"101178","Pasture",9.89393772178881
"101178","Plantations",0
"101178","Urban",0.00860249125241472
"101189","Cropland",0
"101189","Forest",0
"101189","OtherLand",3.91117684538379
"101189","Pasture",2.14363472772113
"101189","Plantations",0
"101189","Urban",0.00357842689508351
"101190","Cropland",0
"101190","Forest",0
"101190","OtherLand",7.38774181600838
"101190","Pasture",3.95899384537226
"101190","Plantations",0
"101190","Urban",0.00124433861935834
"101191","Cropland",0
"101191","Forest",0
"101191","OtherLand",7.23934609288038
"101191","Pasture",3.99527390711962
"101191","Plantations",0
"101191","Urban",0
"101202","Cropland",0
"101202","Forest",0
"101202","OtherLand",32.0801789928638
"101202","Pasture",16.6646227634685
"101202","Plantations",0
"101202","Urban",0.147118243667626
"101203","Cropland",0.00118920290518266
"101203","Forest",0
"101203","OtherLand",11.6746678394518
"101203","Pasture",6.49931295764306
"101203","Plantations",0
"101203","Urban",0
"101204","Cropland",0
"101204","Forest",0
"101204","OtherLand",3.82126190751493
"101204","Pasture",2.00572147885684
"101204","Plantations",0
"101204","Urban",0.0144266136282293
"101205","Cropland",0.000396426782750455
"101205","Forest",0
"101205","OtherLand",33.8111595043176
"101205","Pasture",18.2002774945693
"101205","Plantations",0
"101205","Urban",0.062526574330362
"101206","Cropland",0.000397472196675345
"101206","Forest",0
"101206","OtherLand",74.6684632185764
"101206","Pasture",39.750420004349
"101206","Plantations",0
"101206","Urban",0.185319304877914
"101217","Cropland",0
"101217","Forest",0
"101217","OtherLand",23.9266369870607
"101217","Pasture",13.0319942036948
"101217","Plantations",0
"101217","Urban",0.0261488092444517
"101218","Cropland",0.00416623192455367
"101218","Forest",0
"101218","OtherLand",39.468508157988
"101218","Pasture",21.5943557918237
"101218","Plantations",0
"101218","Urban",0.0478698182637319
"101219","Cropland",0
"101219","Forest",0
"101219","OtherLand",11.7182314938356
"101219","Pasture",6.44970541588873
"101219","Plantations",0
"101219","Urban",0.00723309027562855
"101220","Cropland",0
"101220","Forest",0
"101220","OtherLand",11.1038110675919
"101220","Pasture",6.08149639537893
"101220","Plantations",0
"101220","Urban",0.00538253702917336
"101231","Cropland",0.000396777109713699
"101231","Forest",0
"101231","OtherLand",16.1991305481693
"101231","Pasture",8.13555259452537
"101231","Plantations",0
