"ns","times","ks","value"
"791","2050","totPop",20.000268587991
"791","2050","ruralPop",0.548657714609122
"791","2060","totPop",19.6646933578069
"791","2060","ruralPop",0.379977245005175
"791","2070","totPop",19.4297910039061
"791","2070","ruralPop",0.203223935063021
"791","2080","totPop",18.7921982969773
"791","2080","ruralPop",0.200595231745519
"791","2090","totPop",18.2105354991436
"791","2090","ruralPop",0.153562666814287
"791","2100","totPop",17.6624294946615
"791","2100","ruralPop",0.158328049500488
"806","2000","totPop",40.2257169089712
"806","2000","ruralPop",1
"806","2010","totPop",28.2123666786222
"806","2010","ruralPop",1
"806","2020","totPop",29.9781257435458
"806","2020","ruralPop",1
"806","2030","totPop",30.8974697269103
"806","2030","ruralPop",1
"806","2040","totPop",31.9648815047481
"806","2040","ruralPop",1
"806","2050","totPop",32.2168170108838
"806","2050","ruralPop",0.0670188038691618
"806","2060","totPop",32.1681977726515
"806","2060","ruralPop",0.0280983876219369
"806","2070","totPop",31.5162589659068
"806","2070","ruralPop",0.0110090381447953
"806","2080","totPop",30.802441477226
"806","2080","ruralPop",0.0107619399877127
"806","2090","totPop",30.1195633295133
"806","2090","ruralPop",0.0110059373380131
"806","2100","totPop",29.2156890166327
"806","2100","ruralPop",0.0108169400348234
"807","2000","totPop",50.9179087299253
"807","2000","ruralPop",1
"807","2010","totPop",36.1526108909469
"807","2010","ruralPop",1
"807","2020","totPop",38.4792643864924
"807","2020","ruralPop",1
"807","2030","totPop",39.9110516256405
"807","2030","ruralPop",1
"807","2040","totPop",40.8954042004496
"807","2040","ruralPop",0.536105044740887
"807","2050","totPop",41.4323221109197
"807","2050","ruralPop",0
"807","2060","totPop",41.1638631556846
"807","2060","ruralPop",0
"807","2070","totPop",40.7164315636262
"807","2070","ruralPop",0
"807","2080","totPop",39.5531032797131
"807","2080","ruralPop",0
"807","2090","totPop",38.5687507049042
"807","2090","ruralPop",0
"807","2100","totPop",37.3159361025792
"807","2100","ruralPop",0
"818","2000","totPop",20.0664484436441
"818","2000","ruralPop",1
"818","2010","totPop",13.5249635024882
"818","2010","ruralPop",1
"818","2020","totPop",14.3205495908699
"818","2020","ruralPop",1
"818","2030","totPop",14.7625416935863
"818","2030","ruralPop",1
"818","2040","totPop",15.2045337963028
"818","2040","ruralPop",1
"818","2050","totPop",15.2045337963028
"818","2050","ruralPop",0.186046504664898
"818","2060","totPop",15.1161356792515
"818","2060","ruralPop",0.181286560861688
"818","2070","totPop",14.8509398106376
"818","2070","ruralPop",0.178571417623636
"818","2080","totPop",14.4973458249724
"818","2080","ruralPop",0.0182926139967669
"818","2090","totPop",14.1437533567673
"818","2090","ruralPop",0.0187500348687155
"818","2100","totPop",13.7901593711021
"818","2100","ruralPop",0.0192308052051689
"819","2000","totPop",46.9972740911149
"819","2000","ruralPop",1
"819","2010","totPop",32.9254979080724
"819","2010","ruralPop",1
"819","2020","totPop",34.8550535854579
"819","2020","ruralPop",1
"819","2030","totPop",36.1386278136182
"819","2030","ruralPop",1
"819","2040","totPop",36.9607862202865
"819","2040","ruralPop",0.450631765052002
"819","2050","totPop",37.4529634677788
"819","2050","ruralPop",0.0246397374599383
"819","2060","totPop",37.0195121207901
"819","2060","ruralPop",0.0240217458995871
"819","2070","totPop",36.7398667276945
"819","2070","ruralPop",0.0237479142564514
"819","2080","totPop",35.5933182805888
"819","2080","ruralPop",0.0172061469226635
"819","2090","totPop",34.7431949673776
"819","2090","ruralPop",0.00603670304491729
"819","2100","totPop",33.5127538888332
"819","2100","ruralPop",0.00600801572976295
"830","2000","totPop",45.0565333679958
"830","2000","ruralPop",1
"830","2010","totPop",30.6094093616156
"830","2010","ruralPop",1
"830","2020","totPop",32.2997128877542
"830","2020","ruralPop",1
"830","2030","totPop",33.4630393795038
"830","2030","ruralPop",1
"830","2040","totPop",34.1192746853998
"830","2040","ruralPop",0.953664578460909
"830","2050","totPop",34.5816227120471
"830","2050","ruralPop",0.0590856852151078
"830","2060","totPop",34.4076205132644
"830","2060","ruralPop",0.0576506172331503
"830","2070","totPop",33.8508149620946
"830","2070","ruralPop",0.0277573949327059
"830","2080","totPop",33.08023551507
"830","2080","ruralPop",0.0144274265778835
"830","2090","totPop",31.9268522036121
"830","2090","ruralPop",0.0140143361892365
"830","2100","totPop",31.1513007824069
"830","2100","ruralPop",0.00526651402502066
"844","2000","totPop",40.4777983089145
"844","2000","ruralPop",1
