"ns","ks","value"
"806","Plantations",0
"806","Urban",0.00047107477827277
"806","MeanTemp",29.1495
"806","MeanPrecip",158.104
"806","HarvWood",0.752
"806","HarvCost",112.216
"806","GRASYLD",3.91
"806","meanTimeToMarket",538.442
"806","totPop",62.7120734166842
"806","ruralPop",1
"806","Altitude",0
"806","Slope",0
"806","Soil2_Medium",0
"806","Soil3_Heavy",0
"806","Soil4_Stony",0
"806","MEANYLD",0
"806","HI_MEAN",0
"806","LI_MEAN",0
"806","IR_MEAN",0
"806","SS_MEAN",0
"807","Intercept",1
"807","Cropland",0.128491859715424
"807","Forest",0.704753672452049
"807","OtherLand",1.99661902805756
"807","Pasture",2.13673543977497
"807","Plantations",0
"807","Urban",0
"807","MeanTemp",29.1495
"807","MeanPrecip",158.104
"807","HarvWood",0.77
"807","HarvCost",111.223
"807","GRASYLD",5.785
"807","meanTimeToMarket",708.53
"807","totPop",77.1151290621351
"807","ruralPop",1
"807","Altitude",0
"807","Slope",0
"807","Soil2_Medium",0
"807","Soil3_Heavy",0
"807","Soil4_Stony",0
"807","MEANYLD",0
"807","HI_MEAN",0
"807","LI_MEAN",0
"807","IR_MEAN",0
"807","SS_MEAN",0
"818","Intercept",1
"818","Cropland",0.1889171463301
"818","Forest",0.125536488934651
"818","OtherLand",1.4349973271926
"818","Pasture",3.27828903754265
"818","Plantations",0
"818","Urban",0
"818","MeanTemp",29.3312
"818","MeanPrecip",218.581
"818","HarvWood",0.749
"818","HarvCost",112.094
"818","GRASYLD",7.751
"818","meanTimeToMarket",506.167
"818","totPop",42.9616487726096
"818","ruralPop",1
"818","Altitude",0
"818","Slope",0
"818","Soil2_Medium",0
"818","Soil3_Heavy",0
"818","Soil4_Stony",0
"818","MEANYLD",0
"818","HI_MEAN",0
"818","LI_MEAN",0
"818","IR_MEAN",0
"818","SS_MEAN",0
"819","Intercept",1
"819","Cropland",0.843923013193762
"819","Forest",6.58192854557245
"819","OtherLand",19.1650344958481
"819","Pasture",13.1419139453857
"819","Plantations",0
"819","Urban",0
"819","MeanTemp",29.3312
"819","MeanPrecip",218.581
"819","HarvWood",0.691
"819","HarvCost",114.362
"819","GRASYLD",5.999
"819","meanTimeToMarket",666.161
"819","totPop",69.9925502355736
"819","ruralPop",1
"819","Altitude",0
"819","Slope",0
"819","Soil2_Medium",0
"819","Soil3_Heavy",0
"819","Soil4_Stony",0
"819","MEANYLD",0.041388889
"819","HI_MEAN",0.045666667
"819","LI_MEAN",0.036222222
"819","IR_MEAN",0.055777778
"819","SS_MEAN",0.027888889
"830","Intercept",1
"830","Cropland",1.05931904019928
"830","Forest",4.413336378092
"830","OtherLand",23.1185134291042
"830","Pasture",16.1082311526045
"830","Plantations",0
"830","Urban",0
"830","MeanTemp",28.3109
"830","MeanPrecip",88.1026
"830","HarvWood",0.656
"830","HarvCost",114.033
"830","GRASYLD",6.403
"830","meanTimeToMarket",746.179
"830","totPop",70.6497178933051
"830","ruralPop",1
"830","Altitude",0
"830","Slope",0
"830","Soil2_Medium",0
"830","Soil3_Heavy",0
"830","Soil4_Stony",0
"830","MEANYLD",0.049888889
"830","HI_MEAN",0.055666667
"830","LI_MEAN",0.043777778
"830","IR_MEAN",0.066555556
"830","SS_MEAN",0.033555556
"844","Intercept",1
"844","Cropland",0.561788352399372
"844","Forest",1.56446883166904
"844","OtherLand",4.42001147984536
"844","Pasture",8.35353133608623
"844","Plantations",0
"844","Urban",0
"844","MeanTemp",28.2859
"844","MeanPrecip",34.0265
"844","HarvWood",0.896
"844","HarvCost",115.257
"844","GRASYLD",5.892
"844","meanTimeToMarket",804.233
"844","totPop",61.6115652559095
"844","ruralPop",1
"844","Altitude",0
"844","Slope",0
"844","Soil2_Medium",0
"844","Soil3_Heavy",0
"844","Soil4_Stony",0
"844","MEANYLD",0
"844","HI_MEAN",0
"844","LI_MEAN",0
"844","IR_MEAN",0
"844","SS_MEAN",0
"919","Intercept",1
"919","Cropland",0.209831273617232
"919","Forest",0
"919","OtherLand",2.39112490259784
"919","Pasture",4.00714382378493
"919","Plantations",0
"919","Urban",0
"919","MeanTemp",28.2859
"919","MeanPrecip",34.0265
"919","HarvWood",0.829
"919","HarvCost",108.115
"919","GRASYLD",3.486
"919","meanTimeToMarket",273.03
"919","totPop",21.4887789228371
"919","ruralPop",1
"919","Altitude",0
"919","Slope",0
"919","Soil2_Medium",0
"919","Soil3_Heavy",0
"919","Soil4_Stony",0
"919","MEANYLD",3.3994375
"919","HI_MEAN",2.9731875
"919","LI_MEAN",2.9121875
"919","IR_MEAN",5.2544375
"919","SS_MEAN",2.4579375
"932","Intercept",1
"932","Cropland",1.11530515728677
"932","Forest",0.000364276259855
"932","OtherLand",0.86225507829738
"932","Pasture",11.4186608265975
"932","Plantations",0.00635466155851491
"932","Urban",0
"932","MeanTemp",28.2859
"932","MeanPrecip",34.0265
"932","HarvWood",0.733
"932","HarvCost",105.767
"932","GRASYLD",5.113
"932","meanTimeToMarket",319.201
"932","totPop",504.068510341761
"932","ruralPop",0.025902901124926
"932","Altitude",0
"932","Slope",0
"932","Soil2_Medium",0
"932","Soil3_Heavy",0
"932","Soil4_Stony",0
"932","MEANYLD",4.550609375
"932","HI_MEAN",4.2765
"932","LI_MEAN",4.1350625
"932","IR_MEAN",6.5114375
"932","SS_MEAN",3.2794375
"945","Intercept",1
"945","Cropland",6.20833735023227
"945","Forest",0.0148414838249566
"945","OtherLand",9.01542964378979
"945","Pasture",31.6368111929937
"945","Plantations",0.0344126410335667
"945","Urban",0.000457688125746437
"945","MeanTemp",28.7749
"945","MeanPrecip",164.697
"945","HarvWood",0.8
"945","HarvCost",104.369
"945","GRASYLD",5.086
"945","meanTimeToMarket",283.597
"945","totPop",183.349964368159
"945","ruralPop",0.12300895244739
"945","Altitude",0
"945","Slope",0
"945","Soil2_Medium",0
"945","Soil3_Heavy",0
"945","Soil4_Stony",0
"945","MEANYLD",4.26559375
"945","HI_MEAN",4.0903125
"945","LI_MEAN",3.9241875
"945","IR_MEAN",6.1573125
"945","SS_MEAN",2.8905625
"959","Intercept",1
"959","Cropland",21.3282570795136
"959","Forest",0.0215749052968287
"959","OtherLand",4.67100867764479
"959","Pasture",27.5437855131831
"959","Plantations",0.0466902668267485
"959","Urban",0.000443557534854111
"959","MeanTemp",23.6973
"959","MeanPrecip",8.55582
"959","HarvWood",1.062
"959","HarvCost",105.951
"959","GRASYLD",6.298
"959","meanTimeToMarket",346.82
"959","totPop",44.7849501676498
"959","ruralPop",0.826322365680966
"959","Altitude",0
"959","Slope",0
"959","Soil2_Medium",0
"959","Soil3_Heavy",0
"959","Soil4_Stony",0
"959","MEANYLD",4.497375
"959","HI_MEAN",4.531875
"959","LI_MEAN",4.299
"959","IR_MEAN",6.2981875
"959","SS_MEAN",2.8604375
"972","Intercept",1
"972","Cropland",26.5331547082858
"972","Forest",0.0351628070055447
"972","OtherLand",2.13199521901367
"972","Pasture",24.864002931855
"972","Plantations",0.0465676357239527
"972","Urban",0.000876698116042019
"972","MeanTemp",23.6973
"972","MeanPrecip",8.55582
"972","HarvWood",1.404
"972","HarvCost",108.003
"972","GRASYLD",7.185
"972","meanTimeToMarket",315.338
"972","totPop",131.333125418751
"972","ruralPop",0.0477204942479761
"972","Altitude",0
"972","Slope",0
"972","Soil2_Medium",0
"972","Soil3_Heavy",0
"972","Soil4_Stony",0
"972","MEANYLD",4.55965625
"972","HI_MEAN",4.6818125
"972","LI_MEAN",4.398875
"972","IR_MEAN",6.4115625
"972","SS_MEAN",2.746375
"994","Intercept",1
"994","Cropland",19.4839934477741
"994","Forest",0.0640636725627684
"994","OtherLand",5.04521845676225
"994","Pasture",35.444648571763
"994","Plantations",0.251782880108275
"994","Urban",0.0235229710295482
"994","MeanTemp",28.9886
"994","MeanPrecip",104.014
"994","HarvWood",1.427
"994","HarvCost",108.08
"994","GRASYLD",7.726
"994","meanTimeToMarket",188.31
"994","totPop",104.421534048168
"994","ruralPop",0.181327405525564
"994","Altitude",0
"994","Slope",0
"994","Soil2_Medium",0
"994","Soil3_Heavy",0
"994","Soil4_Stony",0
"994","MEANYLD",4.8205
"994","HI_MEAN",5.0180625
"994","LI_MEAN",4.6905625
"994","IR_MEAN",6.7356875
"994","SS_MEAN",2.8376875
"1020","Intercept",1
"1020","Cropland",7.43542309452914
"1020","Forest",0.0650980039943576
"1020","OtherLand",8.6820886196119
"1020","Pasture",23.2178834542405
"1020","Plantations",0.659626968355225
"1020","Urban",0.148699859268886
"1020","MeanTemp",27.885
"1020","MeanPrecip",44.6751
"1020","HarvWood",1.481
"1020","HarvCost",106.569
"1020","GRASYLD",7.654
"1020","meanTimeToMarket",301.401
"1020","totPop",175.98128967724
"1020","ruralPop",0.0917184850197852
"1020","Altitude",0
"1020","Slope",0
"1020","Soil2_Medium",0
"1020","Soil3_Heavy",0
"1020","Soil4_Stony",0
"1020","MEANYLD",4.9635625
"1020","HI_MEAN",5.23725
"1020","LI_MEAN",4.8716875
"1020","IR_MEAN",6.8970625
"1020","SS_MEAN",2.84825
"1048","Intercept",1
"1048","Cropland",4.34681743591428
"1048","Forest",0
"1048","OtherLand",0.130273137305332
"1048","Pasture",2.27028942678039
"1048","Plantations",0
"1048","Urban",0
"1048","MeanTemp",27.885
"1048","MeanPrecip",44.6751
"1048","HarvWood",1.303
"1048","HarvCost",105.158
"1048","GRASYLD",7.234
"1048","meanTimeToMarket",62.82
"1048","totPop",53.2058369322611
"1048","ruralPop",0.963788300835655
"1048","Altitude",0
"1048","Slope",0
"1048","Soil2_Medium",0
"1048","Soil3_Heavy",0
"1048","Soil4_Stony",0
"1048","MEANYLD",3.76834375
"1048","HI_MEAN",4.253125
